# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 10 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
1.1039164415e+02    2.0180957768e-04
1.1022851117e+02    1.9621274129e-04
1.1006585962e+02    1.9105099992e-04
1.0990368738e+02    1.8629164701e-04
1.0974199233e+02    1.8190536781e-04
1.0958077236e+02    1.7786585989e-04
1.0942002539e+02    1.7414950353e-04
1.0925974934e+02    1.7073507491e-04
1.0909994214e+02    1.6760349631e-04
1.0894060173e+02    1.6473761805e-04
1.0878172608e+02    1.6212202812e-04
1.0862331315e+02    1.5974288575e-04
1.0846536093e+02    1.5758777588e-04
1.0830786741e+02    1.5564558192e-04
1.0815083059e+02    1.5390637457e-04
1.0799424849e+02    1.5236131477e-04
1.0783811914e+02    1.5100256920e-04
1.0768244057e+02    1.4982323699e-04
1.0752721084e+02    1.4881728637e-04
1.0737242801e+02    1.4797950037e-04
1.0721809015e+02    1.4730543067e-04
1.0706419535e+02    1.4679135903e-04
1.0691074170e+02    1.4643426553e-04
1.0675772730e+02    1.4623180344e-04
1.0660515028e+02    1.4618228005e-04
1.0645300876e+02    1.4628464349e-04
1.0630130088e+02    1.4653847520e-04
1.0615002478e+02    1.4694398797e-04
1.0599917863e+02    1.4750202962e-04
1.0584876060e+02    1.4821409236e-04
1.0569876886e+02    1.4908232792e-04
1.0554920161e+02    1.5010956889e-04
1.0540005705e+02    1.5579599237e-04
1.0525133338e+02    1.5717761811e-04
1.0510302884e+02    1.5873135324e-04
1.0495514164e+02    1.6046310499e-04
1.0480767003e+02    1.6237967526e-04
1.0466061226e+02    1.6448882978e-04
1.0451396660e+02    1.6679937859e-04
1.0436773130e+02    1.6932126890e-04
1.0422190466e+02    1.7206569247e-04
1.0407648496e+02    1.7504520904e-04
1.0393147050e+02    1.7827388846e-04
1.0378685958e+02    1.8176747406e-04
1.0364265054e+02    1.8554357064e-04
1.0349884168e+02    1.8962186091e-04
1.0335543136e+02    1.9402435479e-04
1.0321241791e+02    1.9877567714e-04
1.0306979969e+02    2.0390340032e-04
1.0292757506e+02    2.0943842907e-04
1.0278574240e+02    2.1541544699e-04
1.0264430009e+02    2.2187343549e-04
1.0250324652e+02    2.2885627817e-04
1.0236258009e+02    2.3641346646e-04
1.0222229920e+02    2.4460092518e-04
1.0208240228e+02    2.5348198086e-04
1.0194288775e+02    2.6312850006e-04
1.0180375404e+02    2.7362223060e-04
1.0166499960e+02    2.8505638566e-04
1.0152662288e+02    2.9753751845e-04
1.0138862234e+02    3.1118774541e-04
1.0125099645e+02    3.2614738705e-04
1.0111374368e+02    3.4257810927e-04
1.0097686251e+02    3.6066666329e-04
1.0084035145e+02    3.8062933899e-04
1.0070420899e+02    4.0271726379e-04
1.0056843363e+02    4.2722269492e-04
1.0043302391e+02    4.5448646213e-04
1.0029797834e+02    4.8490671450e-04
1.0016329545e+02    5.1894909416e-04
1.0002897379e+02    5.5715837904e-04
9.9895011911e+01    6.0017146781e-04
9.9761408360e+01    6.4873125717e-04
9.9628161704e+01    7.0370038132e-04
9.9495270517e+01    7.6607277789e-04
9.9362733377e+01    8.3697936109e-04
9.9230548871e+01    9.1768135244e-04
9.9098715594e+01    1.0095405631e-03
9.8967232148e+01    1.1139496372e-03
9.8836097142e+01    1.2321967522e-03
9.8705309193e+01    1.3652294819e-03
9.8574866925e+01    1.5132753375e-03
9.8444768970e+01    1.6752817894e-03
