# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3253570911e+00    1.0042075628e-05
2.3252384779e+00    9.9850530417e-06
2.3251198768e+00    9.9335815311e-06
2.3250012878e+00    9.8878140666e-06
2.3248827109e+00    9.8479289785e-06
2.3247641461e+00    9.8141326288e-06
2.3246455934e+00    9.7866624960e-06
2.3245270528e+00    9.7657907419e-06
2.3244085243e+00    9.7518283435e-06
2.3242900078e+00    9.7451298889e-06
2.3241715035e+00    9.7460991554e-06
2.3240530112e+00    9.7551956142e-06
2.3239345310e+00    9.7729420363e-06
2.3238160629e+00    9.7999334105e-06
2.3236976068e+00    9.8368474324e-06
2.3235791629e+00    9.8844568836e-06
2.3234607310e+00    9.9436442895e-06
2.3233423112e+00    1.0015419343e-05
2.3232239034e+00    1.0100939690e-05
2.3231055077e+00    1.0201535841e-05
2.3229871241e+00    1.0318741131e-05
2.3228687526e+00    1.0454327940e-05
2.3227503931e+00    1.0610351676e-05
2.3226320457e+00    1.0789204444e-05
2.3225137103e+00    1.0993680881e-05
2.3223953870e+00    1.1227059344e-05
2.3222770758e+00    1.1493202606e-05
2.3221587766e+00    1.1796683462e-05
2.3220404894e+00    1.2142942379e-05
2.3219222143e+00    1.2538486596e-05
2.3218039513e+00    1.2996674315e-05
2.3216857003e+00    1.3515964861e-05
2.3215674613e+00    1.4113371164e-05
2.3214492344e+00    1.4803027110e-05
2.3213310196e+00    1.5602375088e-05
2.3212128167e+00    1.6533094005e-05
2.3210946259e+00    1.7622325161e-05
2.3209764472e+00    1.8904298586e-05
